Category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Shopping,0,30,0,30,0,30,0,35,0,15,0,25,60,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,0,25,40,0,30,50,70,20,40,0,0,20,0,0,0,0,20,0,0,0,0,0,30,30,20,20,1,1,0,0
Video Players & Editors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,10,10,20,1,1,0,0
Social,70,0,0,35,0,35,0,35,70,0,0,35,0,35,0,25,0,25,0,35,0,20,0,35,0,15,0,35,0,20,0,20,0,15,0,15,0,15,0,35,0,35,0,20,0,35,0,20,0,35,0,35,0,35,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,0,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0
Social,0,15,0,0,20,0,0,20,50,0,0,10,0,20,0,0,0,0,0,15,0,5,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,15,40,0,0,0,0,20,0,35,0,5,20,0,30,0,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,1,0
Shopping,0,0,20,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,20,0,20,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communication,60,0,0,20,0,25,0,30,70,0,0,15,0,30,0,0,0,0,70,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,5,40,0,20,0,30,0,0,10,10,0,40,0,20,0,20,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Communication,20,0,0,0,0,0,0,5,20,0,0,5,40,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,0,10,0,0,0,0,20,0,20,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Social,70,0,0,35,70,0,0,35,70,0,0,35,0,35,0,25,0,25,70,0,0,20,0,35,0,20,0,35,0,20,0,20,0,15,0,15,0,15,0,35,0,35,0,20,0,35,0,0,0,35,0,35,0,35,70,0,70,0,70,0,0,35,70,0,70,0,70,0,70,0,70,0,70,0,0,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0
Finance,50,0,0,25,0,10,0,10,0,0,0,5,40,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,10,0,0,0,0,5,0,0,0,0,10,0,10,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Communication,20,0,0,0,0,0,0,10,40,0,0,0,30,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,20,0,0,0,0,20,0,20,0,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,30,1,0,1,0
